10 628 2
0 20230921 123456 40
9 20230921 793410985 19
9 20230922 791980381 34
9 20230922 794200780 40
0 20230923 792910303 15
7 20230923 796350431 20
0 20230924 790264095 27
0 20230924 123456 13
6 20230924 799845659 24
6 20230924 794076541 40
6 20230924 790597237 33
1 20230924 790619925 27
9 20230925 797456999 27
9 20230925 795038262 41
0 20230926 798421003 3
9 20230927 793574160 4
0 20230927 123456 40
1 20230928 790619925 22
9 20230928 795510443 13
7 20230928 796350431 25
0 20230929 790264095 17
6 20230929 123456 24
0 20230930 798421003 35
6 20230930 796853909 32
0 20231001 123456 32
9 20231001 791365815 26
0 20231001 798421003 31
6 20231002 791216294 40
9 20231002 791954087 25
9 20231003 792852332 1
6 20231003 796505089 19
6 20231003 797029651 9
6 20231003 796505089 2
9 20231003 795634577 2
6 20231003 796505089 38
9 20231004 797456999 1
9 20231005 794855347 42
6 20231006 123456 6
9 20231007 791954087 30
7 20231007 794829136 43
6 20231008 797029651 18
0 20231009 792910303 24
4 20231009 794069830 1
0 20231009 790264095 29
8 20231009 799613334 31
9 20231009 791954087 43
0 20231009 792910303 21
6 20231010 792557799 5
9 20231010 795038262 44
9 20231010 795038262 36
0 20231011 798421003 31
0 20231011 790264095 11
9 20231011 791365815 18
6 20231011 800800800 32
0 20231012 798421003 34
9 20231012 791980381 43
6 20231012 791216294 43
9 20231012 791980381 42
9 20231012 791954087 9
9 20231013 123456 44
9 20231013 800800800 37
9 20231013 790110105 14
4 20231015 794434123 6
9 20231017 794200780 1
9 20231017 792852332 43
0 20231017 790264095 42
0 20231017 798421003 36
9 20231018 797123154 12
1 20231018 790619925 26
6 20231018 790597237 22
9 20231018 793914633 26
0 20231019 123456 33
6 20231019 123456 43
4 20231020 800800800 41
0 20231020 123456 37
9 20231020 794200780 18
6 20231020 798654087 6
6 20231020 799712171 31
0 20231021 123456 1
1 20231021 790619925 6
9 20231021 790110105 28
1 20231022 790619925 13
1 20231023 790619925 4
0 20231023 800800800 8
9 20231024 794200780 42
6 20231024 123456 26
6 20231024 796853909 35
3 20231024 797514538 34
0 20231024 798421003 33
0 20231024 123456 16
4 20231025 794288020 10
1 20231025 790619925 5
0 20231025 792910303 44
0 20231026 800800800 33
0 20231026 798421003 22
0 20231027 798421003 41
9 20231028 795038262 32
0 20231028 790264095 17
9 20231028 797300927 9
9 20231028 799771968 31
9 20231028 796948724 4
9 20231030 792852332 14
0 20231030 800800800 29
0 20231030 123456 1
9 20231030 797456999 40
0 20231031 800800800 8
9 20231031 791863943 30
4 20231031 798236802 17
1 20231101 790619925 32
9 20231102 123456 42
7 20231102 796350431 6
6 20231102 796350030 24
0 20231103 798421003 13
1 20231103 790619925 2
6 20231103 796853909 44
4 20231103 794069830 2
3 20231104 798596758 6
6 20231104 796350030 41
6 20231104 800800800 42
6 20231104 800800800 20
9 20231105 800800800 44
9 20231105 794732257 2
9 20231105 795038262 9
7 20231105 794829136 26
9 20231106 799949966 27
0 20231106 800800800 18
6 20231106 792557799 19
9 20231106 794336275 21
9 20231107 791863943 32
6 20231107 790597237 19
9 20231107 791980381 2
0 20231107 798421003 21
9 20231107 797300927 39
9 20231108 797456999 23
0 20231108 790264095 36
4 20231108 123456 43
9 20231108 796948724 39
9 20231109 791863943 30
4 20231111 794434123 36
0 20231111 800800800 13
0 20231111 800800800 4
0 20231111 790264095 23
6 20231111 800800800 1
0 20231112 790264095 18
9 20231112 793574160 41
0 20231112 792910303 44
9 20231114 795510443 11
0 20231115 790264095 12
9 20231115 794732257 19
4 20231116 791300878 34
9 20231116 799949966 30
6 20231116 797195613 20
0 20231117 800800800 35
9 20231117 791954087 13
6 20231117 792557799 9
8 20231118 799613334 15
0 20231118 798421003 28
1 20231118 790619925 24
9 20231119 794855347 36
6 20231119 796853909 15
3 20231119 797514538 14
1 20231120 790619925 14
9 20231120 791954087 32
9 20231120 791365815 6
9 20231121 797958562 9
6 20231122 790597237 13
9 20231122 795634577 8
9 20231122 793410985 20
3 20231122 798596758 18
3 20231122 797514538 27
9 20231124 791954087 26
3 20231124 796504072 32
7 20231125 796350431 39
6 20231125 797195613 20
9 20231125 793914633 14
6 20231125 797525931 30
6 20231129 791216294 27
6 20231129 790597237 26
6 20231129 800800800 37
6 20231129 790144112 38
6 20231130 796853909 20
9 20231130 794200780 33
4 20231130 800800800 10
9 20231201 799771968 42
6 20231201 796505089 18
9 20231202 797123154 12
9 20231202 794200780 42
9 20231203 791046687 20
6 20231203 794408649 4
6 20231203 798928425 21
9 20231204 797958562 27
6 20231204 795938726 18
9 20231204 794336275 27
9 20231205 797456999 9
9 20231206 800800800 38
6 20231206 790144112 9
6 20231207 791216294 36
9 20231208 797958562 44
6 20231208 791216294 43
6 20231208 794076541 31
9 20231209 797300927 34
6 20231209 798928425 17
6 20231210 792557799 19
9 20231210 791046687 6
6 20231211 797525931 23
6 20231212 796505089 16
9 20231213 790110105 28
9 20231213 797958562 10
9 20231213 797958562 14
9 20231213 123456 23
9 20231213 794732257 28
7 20231214 794829136 8
6 20231214 799513972 24
9 20231214 794336275 12
9 20231214 796948724 3
9 20231214 790110105 4
9 20231214 797958562 29
9 20231215 794855347 31
9 20231216 799949966 25
3 20231216 796504072 8
9 20231217 791365815 19
6 20231217 799845659 40
9 20231218 793410985 23
3 20231218 797514538 33
9 20231218 791954087 13
6 20231219 799712171 33
9 20231219 800800800 16
9 20231219 791863943 17
6 20231220 798928425 10
9 20231220 795634577 43
9 20231220 790110105 9
9 20231220 793410985 39
9 20231221 793410985 2
6 20231222 799513972 36
9 20231222 796819610 34
6 20231223 794076541 35
9 20231223 794732257 36
9 20231223 797498698 34
9 20231223 794855347 23
9 20231223 795634577 5
9 20231226 797456999 10
4 20231226 791300878 16
8 20231227 799613334 35
9 20231227 792852332 8
6 20231227 123456 36
9 20231228 123456 3
6 20231228 795938726 14
9 20231230 800800800 37
9 20231230 792852332 28
3 20231230 798596758 36
9 20231231 794336275 6
9 20231231 797123154 34
8 20231231 799613334 20
9 20240101 799771968 25
6 20240101 797525931 27
6 20240101 800800800 6
6 20240101 799845659 29
3 20240101 797514538 39
3 20240102 797514538 6
6 20240102 798928425 41
6 20240103 790144112 17
9 20240103 797123154 40
6 20240105 796853909 41
6 20240105 798928425 31
9 20240106 796819610 7
9 20240106 792852332 32
9 20240106 793410985 24
6 20240107 799845659 30
8 20240109 799613334 38
9 20240109 794855347 35
6 20240109 797029651 42
3 20240110 798596758 30
6 20240110 799513972 31
6 20240112 799845659 8
9 20240112 796819610 28
9 20240113 793410985 11
4 20240113 123456 40
6 20240114 123456 33
3 20240114 797514538 37
3 20240115 797514538 24
8 20240115 799613334 7
8 20240116 799613334 26
3 20240116 797514538 21
6 20240117 795938726 18
6 20240117 123456 15
4 20240118 794069830 2
4 20240118 800800800 13
9 20240118 790110105 17
6 20240118 798928425 35
4 20240119 794434123 10
9 20240119 792852332 41
9 20240119 791980381 30
9 20240120 796819610 7
6 20240120 796505089 35
9 20240121 790110105 35
9 20240123 794855347 31
9 20240123 796819610 15
6 20240123 798654087 42
6 20240124 796350030 9
9 20240125 793410985 38
9 20240125 799771968 17
6 20240125 798654087 24
9 20240127 794732257 10
6 20240127 799712171 34
6 20240127 799712171 23
9 20240128 797958562 23
9 20240129 800800800 17
4 20240129 791300878 2
9 20240129 792852332 9
3 20240130 797514538 15
4 20240130 798236802 15
4 20240131 791300878 23
6 20240131 790144112 11
6 20240201 790144112 44
4 20240201 791300878 4
4 20240205 794069830 9
4 20240205 794288020 34
7 20240206 796350431 15
6 20240207 790597237 40
6 20240208 123456 26
4 20240213 123456 25
6 20240213 799712171 24
3 20240214 798596758 23
6 20240218 790144112 37
4 20240218 794288020 13
4 20240225 791300878 4
4 20240227 791300878 7
4 20240301 791300878 29
4 20240301 794069830 10
3 20240306 797514538 13
4 20240307 794288020 29
4 20240308 123456 23
3 20240309 798596758 8
3 20240310 796504072 39
3 20240312 797514538 1
3 20240313 798596758 36
4 20240313 794434123 37
7 20240314 796350431 12
3 20240316 796504072 42
3 20240320 796504072 15
3 20240321 797514538 22
4 20240326 123456 27
3 20240329 798596758 36
3 20240329 797514538 30
123456 1.8
800800800 0

